user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ERROR,0,{},0,0,0
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ExitStatus.FEASIBLE,605.7954970765859,"{'makespan': 0.595, 'workstations': 9, 'employees': 2, 'robots': 1, 'employee_time': 0.6233333333333333}",0.012840255629271269,5.625418367795646,600.1699568708427
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ExitStatus.OPTIMAL,195.95346923172474,"{'makespan': 1.498888888888889, 'workstations': 3, 'employees': 1, 'robots': 2, 'employee_time': 1.43}",0.01373291015625,5.683413166087121,190.2699442668818
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,187.54909238405526,"{'makespan': 1.7472222222222222, 'workstations': 10, 'employees': 1, 'robots': 1, 'employee_time': 0.08666666666666667}",0.011680567171424627,4.78334302501753,182.76564026530832
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ExitStatus.OPTIMAL,281.94869984081015,"{'makespan': 1.5766666666666667, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 1.5733333333333333}",0.021317204926162958,5.226057372055948,276.72254236601293
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ERROR,0,{},0,0,0
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,588.4475503219292,"{'makespan': 0.7766666666666666, 'workstations': 11, 'employees': 1, 'robots': 0, 'employee_time': 0.13666666666666666}",0.013992149848490953,5.775660073384643,582.6717893667519
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,443.8858366482891,"{'makespan': 0.7766666666666666, 'workstations': 10, 'employees': 2, 'robots': 0, 'employee_time': 0.13666666666666666}",0.018658890388906002,5.189186689909548,438.696529537905
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ExitStatus.OPTIMAL,198.82487832335755,"{'makespan': 1.1691666666666667, 'workstations': 10, 'employees': 1, 'robots': 2, 'employee_time': 0.08666666666666667}",0.018513432703912258,5.801457380875945,193.02328247530386
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ExitStatus.OPTIMAL,41.4438490672037,"{'makespan': 2.3955555555555557, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.08666666666666667}",0.013596244156360626,5.892872436903417,35.55087426304817
30,"[1.0, 63.841675, 1.0, 36.158325, 1.0]",ExitStatus.FEASIBLE,606.3206855328754,"{'makespan': 1.5566666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.5}",0.013498248998075724,6.2141838683746755,600.1064036129974
31,"[1.0, 100.0, 1.0, 1.0, 1.0]",ExitStatus.FEASIBLE,605.316468141973,"{'makespan': 1.6322222222222222, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.5}",0.020867252256721258,5.159644475206733,600.156723887194
32,"[17.911133, 46.571021, 17.522982, 1.0, 17.994863]",ExitStatus.FEASIBLE,605.1779459780082,"{'makespan': 1.4522222222222223, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 1.43}",0.011714254971593618,5.016978560946882,600.1608781493269
33,"[23.336567, 1.0, 54.515705, 1.0, 22.147728]",ExitStatus.FEASIBLE,605.5878910627216,"{'makespan': 0.8205555555555556, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.24888888888888888}",0.0223595411516726,5.415777256246656,600.1719622849487
34,"[38.083746, 1.0, 1.0, 1.0, 61.916254]",ExitStatus.FEASIBLE,605.108745533973,"{'makespan': 0.7344444444444445, 'workstations': 10, 'employees': 1, 'robots': 1, 'employee_time': 0.10444444444444445}",0.021939925849437714,4.970630613155663,600.1379839321598
35,"[38.621632, 1.0, 1.0, 61.378368, 1.0]",ExitStatus.FEASIBLE,605.37356392527,"{'makespan': 0.7686111111111111, 'workstations': 6, 'employees': 1, 'robots': 0, 'employee_time': 0.7677777777777778}",0.013822721317410469,5.249176057986915,600.1242284933105
36,"[54.476421, 1.0, 1.0, 22.531301, 22.992278]",ExitStatus.FEASIBLE,605.1976683377288,"{'makespan': 0.6866666666666666, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.23666666666666666}",0.012167873792350292,5.053614330943674,600.1439286498353
37,"[59.470827, 40.529173, 1.0, 1.0, 1.0]",ERROR,0,{},0,0,0
38,"[62.376987, 1.0, 37.623013, 1.0, 1.0]",ExitStatus.FEASIBLE,605.2777034798637,"{'makespan': 0.6133333333333333, 'workstations': 6, 'employees': 1, 'robots': 1, 'employee_time': 0.5977777777777777}",0.0125195630826056,5.099054439924657,600.1785132200457
39,"[100.0, 1.0, 1.0, 1.0, 1.0]",ERROR,0,{},0,0,0
