user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ExitStatus.UNKNOWN,609.8394972868264,{},0.013672396074980497,9.596347869373858,600.2430591806769
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ExitStatus.UNKNOWN,609.3905785637908,{},0.024367159232497215,9.243695511948317,600.146775405854
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ExitStatus.OPTIMAL,178.2642303686589,"{'makespan': 1.9733333333333334, 'workstations': 3, 'employees': 1, 'robots': 3, 'employee_time': 1.9066666666666667}",0.012877680826932192,8.547638081945479,169.71650850074366
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,504.1450777500868,"{'makespan': 2.0877777777777777, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.11555555555555555}",0.014439543709158897,10.509713757783175,493.6352419392206
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ExitStatus.UNKNOWN,609.6951857488602,{},0.013577358797192574,9.456576765980572,600.2385187428445
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ExitStatus.UNKNOWN,608.8854358382523,{},0.01266999775543809,8.734016847331077,600.151317036245
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ExitStatus.FEASIBLE,609.3186542410403,"{'makespan': 1.3677777777777778, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.18222222222222223}",0.014568957965821028,8.960789532400668,600.3577463249676
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.FEASIBLE,609.9291769587435,"{'makespan': 1.3655555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.18222222222222223}",0.012440260034054518,9.670293630100787,600.2587843108922
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ExitStatus.OPTIMAL,376.78860737010837,"{'makespan': 2.0875, 'workstations': 7, 'employees': 1, 'robots': 2, 'employee_time': 0.11555555555555555}",0.012915613129734993,8.724086000118405,368.06442262697965
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ExitStatus.OPTIMAL,385.40739365899935,"{'makespan': 3.8469444444444445, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.11555555555555555}",0.013677652925252914,9.662928448989987,375.7443746929057
30,"[1.0, 63.841675, 1.0, 36.158325, 1.0]",ExitStatus.FEASIBLE,609.1426384230144,"{'makespan': 2.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 2.0}",0.012830942869186401,8.969763396307826,600.1727874716744
31,"[1.0, 100.0, 1.0, 1.0, 1.0]",ExitStatus.FEASIBLE,609.3963052970357,"{'makespan': 2.03, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 2.0}",0.012940657790750265,9.13933161366731,600.2568589122966
32,"[17.911133, 46.571021, 17.522982, 1.0, 17.994863]",ExitStatus.UNKNOWN,609.101022969,{},0.015121749136596918,8.974633732810616,600.1262973570265
33,"[23.336567, 1.0, 54.515705, 1.0, 22.147728]",ExitStatus.UNKNOWN,609.3890180499293,{},0.013219508808106184,9.196361743845046,600.1925500659272
34,"[38.083746, 1.0, 1.0, 1.0, 61.916254]",ExitStatus.FEASIBLE,608.8871042868122,"{'makespan': 2.02, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.17555555555555555}",0.01253289682790637,8.630474702920765,600.2565295877866
35,"[38.621632, 1.0, 1.0, 61.378368, 1.0]",ExitStatus.UNKNOWN,609.3661049036309,{},0.012207006104290485,8.691506064962596,600.6744981687516
36,"[54.476421, 1.0, 1.0, 22.531301, 22.992278]",ExitStatus.UNKNOWN,609.8775903768837,{},0.013014527969062328,9.259063916746527,600.6184176579118
37,"[59.470827, 40.529173, 1.0, 1.0, 1.0]",ExitStatus.FEASIBLE,613.8061481709592,"{'makespan': 2.1205555555555557, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 2.1144444444444446}",0.012715570628643036,9.444212278816849,604.3618370480835
38,"[62.376987, 1.0, 37.623013, 1.0, 1.0]",ExitStatus.UNKNOWN,609.6686024260707,{},0.013222337700426579,8.910762930754572,600.7577310139313
39,"[100.0, 1.0, 1.0, 1.0, 1.0]",ExitStatus.UNKNOWN,611.7496953359805,{},0.014758482109755278,11.567136669997126,600.1824160041288
