user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ExitStatus.FEASIBLE,615.3852227688767,"{'makespan': 4.33, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.6933333333333334}",0.0239100051112473,14.130023915320635,601.2550949221477
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ERROR,0,{},0,0,0
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ERROR,0,{},0,0,0
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,96.56706423172727,"{'makespan': 4.715833333333333, 'workstations': 9, 'employees': 1, 'robots': 1, 'employee_time': 0.14444444444444443}",0.01887870579957962,13.957388377282768,82.60956169478595
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ERROR,0,{},0,0,0
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ERROR,0,{},0,0,0
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ERROR,0,{},0,0,0
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ERROR,0,{},0,0,0
