user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ExitStatus.FEASIBLE,608.2614629920572,"{'makespan': 0.7022222222222222, 'workstations': 8, 'employees': 3, 'robots': 1, 'employee_time': 0.7988888888888889}",0.02190576121211052,8.003662368282676,600.2577093509026
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ExitStatus.FEASIBLE,608.8797030970454,"{'makespan': 0.7744444444444445, 'workstations': 6, 'employees': 3, 'robots': 0, 'employee_time': 1.0633333333333332}",0.0259866532869637,8.636429836042225,600.2431277511641
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ExitStatus.OPTIMAL,32.570261848159134,"{'makespan': 2.0455555555555556, 'workstations': 3, 'employees': 1, 'robots': 2, 'employee_time': 1.9066666666666667}",0.023027956020087004,7.469260768964887,25.10091084614396
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,22.257025802042335,"{'makespan': 1.6669444444444443, 'workstations': 7, 'employees': 3, 'robots': 1, 'employee_time': 0.11555555555555555}",0.021617695223540068,7.325017813593149,14.931898072827607
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ExitStatus.OPTIMAL,246.0821376517415,"{'makespan': 2.0877777777777777, 'workstations': 3, 'employees': 1, 'robots': 3, 'employee_time': 2.0877777777777777}",0.026835056953132153,7.3340208060108125,238.7480379040353
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ExitStatus.FEASIBLE,608.4974790029228,"{'makespan': 0.7633333333333333, 'workstations': 8, 'employees': 3, 'robots': 2, 'employee_time': 1.0688888888888888}",0.02125334506854415,7.14960841787979,601.3477599541657
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,64.99109462182969,"{'makespan': 1.3655555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.18222222222222223}",0.02327267313376069,7.47834135312587,57.512655660975724
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,75.49219063390046,"{'makespan': 1.3655555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.18222222222222223}",0.023223745170980692,7.504839128814638,67.98723906092346
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ExitStatus.OPTIMAL,17.040514932014048,"{'makespan': 3.2466666666666666, 'workstations': 6, 'employees': 1, 'robots': 3, 'employee_time': 0.11555555555555555}",0.020838127937167883,6.9397922358475626,10.100624000187963
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ExitStatus.OPTIMAL,23.038596140686423,"{'makespan': 2.767777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.11555555555555555}",0.02078602509573102,7.0950154908932745,15.943504400085658
30,"[1.0, 63.841675, 1.0, 36.158325, 1.0]",ExitStatus.FEASIBLE,607.6462400732562,"{'makespan': 2.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 2.0}",0.023449713829904795,7.391927222255617,600.2542305542156
31,"[1.0, 100.0, 1.0, 1.0, 1.0]",ExitStatus.FEASIBLE,607.6843960960396,"{'makespan': 2.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 2.0}",0.02097525494173169,7.44581037806347,600.2384951128624
32,"[17.911133, 46.571021, 17.522982, 1.0, 17.994863]",ExitStatus.FEASIBLE,608.9752064780332,"{'makespan': 1.9288888888888889, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 1.9066666666666667}",0.02150825411081314,8.534653604961932,600.4404641361907
33,"[23.336567, 1.0, 54.515705, 1.0, 22.147728]",ExitStatus.FEASIBLE,608.5386030240916,"{'makespan': 1.0233333333333334, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.2577777777777778}",0.023899846710264683,8.247023804113269,600.2914147069678
34,"[38.083746, 1.0, 1.0, 1.0, 61.916254]",ExitStatus.FEASIBLE,607.8350282828324,"{'makespan': 1.0733333333333333, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.1511111111111111}",0.023319830652326345,7.543359876144677,600.2915603360161
35,"[38.621632, 1.0, 1.0, 61.378368, 1.0]",ExitStatus.FEASIBLE,609.5550947580487,"{'makespan': 0.9044444444444445, 'workstations': 5, 'employees': 2, 'robots': 0, 'employee_time': 1.1255555555555556}",0.02863728580996394,9.229726318269968,600.3252136078663
36,"[54.476421, 1.0, 1.0, 22.531301, 22.992278]",ExitStatus.FEASIBLE,608.6608627918176,"{'makespan': 1.0233333333333334, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.3244444444444444}",0.026388776022940874,8.41227692225948,600.2484171069227
37,"[59.470827, 40.529173, 1.0, 1.0, 1.0]",ExitStatus.FEASIBLE,608.0312001779675,"{'makespan': 1.74, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 2.1777777777777776}",0.02318478934466839,7.807813490740955,600.2232941631228
38,"[62.376987, 1.0, 37.623013, 1.0, 1.0]",ExitStatus.FEASIBLE,608.1095087355934,"{'makespan': 0.8733333333333333, 'workstations': 6, 'employees': 1, 'robots': 1, 'employee_time': 0.7533333333333333}",0.025975514203310013,7.319815650116652,600.7895743539557
39,"[100.0, 1.0, 1.0, 1.0, 1.0]",ExitStatus.FEASIBLE,611.8433454041369,"{'makespan': 0.7688888888888888, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.9344444444444444}",0.053573668003082275,11.499317004811019,600.343757036142
