user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ERROR,0,{},0,0,0
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ERROR,0,{},0,0,0
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ERROR,0,{},0,0,0
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,118.78692060988396,"{'makespan': 4.03, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.14444444444444443}",0.016168665140867233,13.712986796628684,105.07381050568074
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ERROR,0,{},0,0,0
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ERROR,0,{},0,0,0
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ERROR,0,{},0,0,0
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.FEASIBLE,615.4351195790805,"{'makespan': 2.2591666666666668, 'workstations': 7, 'employees': 2, 'robots': 0, 'employee_time': 0.22777777777777777}",0.017589757218956947,14.914615377783775,600.5203545331024
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ERROR,0,{},0,0,0
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ERROR,0,{},0,0,0
