user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ExitStatus.FEASIBLE,616.3942683199421,"{'makespan': 0.7077777777777777, 'workstations': 11, 'employees': 2, 'robots': 1, 'employee_time': 0.95}",0.11519456608220935,15.848511097021401,600.5456716781482
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ExitStatus.FEASIBLE,615.7715524849482,"{'makespan': 2.0533333333333332, 'workstations': 7, 'employees': 4, 'robots': 0, 'employee_time': 2.5677777777777777}",0.03815075755119324,15.358937747310847,600.4125154628418
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ExitStatus.OPTIMAL,86.4324872107245,"{'makespan': 2.4744444444444444, 'workstations': 3, 'employees': 1, 'robots': 2, 'employee_time': 2.3833333333333333}",0.03312325710430741,15.079970963299274,71.35243208380416
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,38.62602190487087,"{'makespan': 3.1344444444444446, 'workstations': 6, 'employees': 1, 'robots': 1, 'employee_time': 0.14444444444444443}",0.0340099111199379,15.096855802927166,23.529053058009595
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ExitStatus.OPTIMAL,615.0088830329478,"{'makespan': 2.608888888888889, 'workstations': 3, 'employees': 1, 'robots': 4, 'employee_time': 2.608888888888889}",0.0329499957151711,15.083668053150177,599.9251309549436
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ExitStatus.FEASIBLE,615.796934957616,"{'makespan': 1.201111111111111, 'workstations': 10, 'employees': 2, 'robots': 1, 'employee_time': 1.6244444444444444}",0.03289651405066252,15.12461861781776,600.6722082626075
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,117.03471030015498,"{'makespan': 1.1433333333333333, 'workstations': 11, 'employees': 1, 'robots': 0, 'employee_time': 0.22777777777777777}",0.0339122312143445,15.936285289004445,101.0983374407515
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,126.47720403689891,"{'makespan': 1.1311111111111112, 'workstations': 11, 'employees': 1, 'robots': 0, 'employee_time': 0.22777777777777777}",0.033117728773504496,15.755376424640417,110.72170848911628
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ExitStatus.OPTIMAL,39.36894409870729,"{'makespan': 3.1344444444444446, 'workstations': 6, 'employees': 1, 'robots': 1, 'employee_time': 0.14444444444444443}",0.09204000514000654,16.42700752429664,22.941825214773417
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ExitStatus.OPTIMAL,39.108639751560986,"{'makespan': 3.7066666666666666, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.14444444444444443}",0.03394193993881345,14.740486077032983,24.368050092831254
