user_index,weights,status,elapsed,objectives,task_decomposition_s,native_model_build_s,solve_call_wall_s
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ExitStatus.OPTIMAL,8.10322035709396,"{'makespan': 0.22444444444444445, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.31666666666666665}",0.010911376681178808,1.0636125239543617,7.039411763194948
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ExitStatus.OPTIMAL,4.540567839983851,"{'makespan': 0.22444444444444445, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.3277777777777778}",0.008215290028601885,0.4548461348749697,4.08559575676918
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ExitStatus.OPTIMAL,1.9920378481037915,"{'makespan': 0.555, 'workstations': 3, 'employees': 1, 'robots': 3, 'employee_time': 0.4766666666666667}",0.003924584947526455,0.5616020900197327,1.4303332697600126
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,1.024275520350784,"{'makespan': 0.5777777777777777, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.028888888888888888}",0.003571104258298874,0.48208779795095325,0.5420953473076224
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ExitStatus.OPTIMAL,2.396143060643226,"{'makespan': 0.5277777777777778, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.5277777777777778}",0.0036193248815834522,0.4807118261232972,1.9153360538184643
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ExitStatus.OPTIMAL,7.0881918128579855,"{'makespan': 0.22444444444444445, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.33111111111111113}",0.0036907768808305264,0.5004944605752826,6.587599089834839
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,1.5222143367864192,"{'makespan': 0.5377777777777778, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.04555555555555556}",0.0037196120247244835,0.4933227482251823,1.028787735849619
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,1.3725226116366684,"{'makespan': 0.5377777777777778, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.04555555555555556}",0.0035472880117595196,0.4515157314017415,0.9208969068713486
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ExitStatus.OPTIMAL,1.0274808192625642,"{'makespan': 0.5777777777777777, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.028888888888888888}",0.003554002847522497,0.47345861699432135,0.5539281722158194
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ExitStatus.OPTIMAL,1.1597550897859037,"{'makespan': 1.0122222222222221, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.028888888888888888}",0.0037442808970808983,0.454506095033139,0.7051668139174581
